mw_id,ce_id
KHX2394-0029,a3d576c3-7479-45f8-85ec-35cb1e6b975c
HEX0544-0007,8324ac83-bb2e-4adb-88e3-791897ab0128
HEX10541-0003,75a80b16-c36c-46c1-9b6d-eae3282c2746
HEX10541-0011,7eec2f93-eebc-4177-af71-b4583870a0fc
HEX10900-0010,e2a09234-e8bc-4a4a-8112-22bfbc09b933
HEX11900-0004,008485d1-057a-4b38-970a-c280d78092e6
HEX7450-0004,fc755efb-5065-4696-994e-ccc2a6f2f434
HEX7450-0013,f3538411-690c-44c8-9bc9-6f402a07d2d0
HEX7450-0014,910c4df5-1d7c-4817-98f4-b98fe76c96b1
HEX7730-0003,a409a67a-3fbe-44e5-8fb4-37e60d43c83b
HEX7730-0009,4a56267b-dde5-4879-a740-94ca201fded2
HEX0293-0009,4fa22276-1816-46ad-a846-583ba7c675b4
HEX10900-0022,905d1b6c-9274-45b8-847c-7959ff687a58
HEX2643-0005,df424905-50b6-4a11-be30-67abc2727e1e
HEX2643-0008,e326eaa2-2071-4148-bbeb-41ec81daad4e
HEX2643-0003,993cb646-634e-4336-83fd-2b1aeaa1d5df
KHX0927-0003,69c804a5-b998-403b-b986-93cd65c5cc7a
KHX0927-0011,585359f0-fdbf-46db-80e3-eaa4bab914ef
KHX0927-0023,4020679d-21c5-4325-8fc0-061fc14b4950
HEX4424-0008,ff93be73-eb58-4a11-9523-e8af374d3c84
HEX4424-0001,f1d13a75-0c93-4167-876f-e16193da2f41
HEX7428-0016,69f4ea55-d5d5-40c1-a344-b57c4de0603a
HEX14325-0003,82999747-e654-4d5d-b721-eef343ad94f3
LAX2638-0010,0c9308d1-6c19-4c14-ab32-596a71bfc822
LAX2638-0004,adcf1974-ccd0-4642-975a-8c5b4641441c
HEX14325-0004,114e0286-5fec-4e68-8213-5b38a65c93d5
HEX14517-0016,6396d6e2-989e-43f9-8596-64aa412dc408
LAX2638-0015,3363a2e5-2657-49a8-9dfa-c7b7fbc466df
JK190257-0001,affb7e31-0e43-4cd2-aa38-223b4fca2411
KHX2782-0007,ca82f19e-9d82-4060-9edb-2ed2637386e9
KHX1585-0017,49cd16ff-7172-4998-993b-7e400c3876cc
HEX9803-0014,c7a57eec-9040-4c5d-be27-6c74489ffaa5
